n,flops
2,5.76923e+07
3,3.93013e+07
4,8.21918e+07
5,1.43541e+08
6,1.44e+08
7,1.68e+08
8,1.64384e+08
9,1.44e+08
10,1.43885e+08
11,1.58273e+08
12,1.57205e+08
13,1.56e+08
14,1.68e+08
15,1.54374e+08
16,1.77449e+08
17,1.74957e+08
18,1.85249e+08
19,1.824e+08
20,1.8018e+08
21,1.68e+08
22,1.86441e+08
23,2.07207e+08
24,1.92e+08
25,1.89633e+08
26,1.97219e+08
27,1.94478e+08
28,2.01681e+08
29,2.08633e+08
30,1.8e+08
31,2.02835e+08
32,1.77122e+08
33,1.82825e+08
34,2.04e+08
35,2.01729e+08
36,1.99446e+08
37,1.97333e+08
38,2.02667e+08
39,2.00686e+08
40,2.05832e+08
41,2.03474e+08
42,1.83273e+08
43,2.064e+08
44,2.112e+08
45,1.96364e+08
46,2.00727e+08
47,2.05091e+08
48,2.09455e+08
49,1.85723e+08
50,2e+08
51,2.04e+08
52,2.02335e+08
53,2.0636e+08
54,2.16e+08
55,2.08333e+08
56,2.06769e+08
57,2.00234e+08
58,2.19697e+08
59,2.07139e+08
60,2.15957e+08
61,1.86925e+08
62,2.12571e+08
63,2.16e+08
64,2.09378e+08
65,1.79972e+08
66,2.06573e+08
67,2.09703e+08
68,2.04e+08
69,2.07e+08
70,1.97647e+08
71,2.08619e+08
72,1.99354e+08
73,2.10274e+08
74,2.13052e+08
75,2.11765e+08
76,6.6735e+07
77,2.13198e+08
78,1.81185e+08
79,2.06897e+08
80,1.88828e+08
81,2.04632e+08
82,2.14753e+08
83,2.13459e+08
84,2.12211e+08
85,2.11093e+08
86,1.96571e+08
87,2.088e+08
88,1.86375e+08
89,2.17161e+08
90,1.9341e+08
91,2.14792e+08
92,2.13705e+08
93,2.12571e+08
94,2.14857e+08
95,2.17143e+08
96,2.09455e+08
97,2.02435e+08
98,2.13818e+08
99,1.98e+08
100,2.11715e+08
101,2.17049e+08
102,2.16025e+08
103,2.14957e+08
104,1.92e+08
105,2.15975e+08
106,2.1501e+08
107,2.14e+08
108,2.13018e+08
109,1.98663e+08
110,2.2e+08
111,2.19007e+08
112,2.1504e+08
113,1.93714e+08
114,2.2179e+08
115,2.15087e+08
116,2.16958e+08
117,2.16e+08
118,2.17846e+08
119,2.19692e+08
120,2.16022e+08
121,2.20535e+08
122,2.16889e+08
123,2.18667e+08
124,2.17735e+08
125,2.19491e+08
126,2.21311e+08
127,1.98748e+08
128,2.14346e+08
129,2.18521e+08
130,1.97069e+08
131,2.16828e+08
132,2.1598e+08
133,2.128e+08
134,1.96914e+08
135,2.18447e+08
136,2.1519e+08
137,2.192e+08
138,2.208e+08
139,2.04262e+08
140,2.19149e+08
141,2.18323e+08
142,2.19871e+08
143,2.21419e+08
144,2.18292e+08
145,2.15293e+08
146,2.10223e+08
147,2.09601e+08
148,2.19693e+08
149,2.18903e+08
150,2.13878e+08
151,2.07086e+08
152,2.18862e+08
153,2.20355e+08
154,2.21742e+08
155,2.18824e+08
156,2.02378e+08
157,2.19478e+08
158,2.14674e+08
159,2.15984e+08
160,2.02105e+08
161,2.12728e+08
162,2.18035e+08
163,2.19332e+08
164,2.07158e+08
165,2.1028e+08
166,2.21333e+08
167,2.12829e+08
168,2.17946e+08
169,2.08e+08
170,2.11005e+08
171,2.16e+08
172,2.21127e+08
173,2.18526e+08
174,2.17863e+08
175,2.06571e+08
176,2.18453e+08
177,2.19694e+08
178,2.15409e+08
179,2.1847e+08
180,2.19646e+08
181,2.08525e+08
182,2.08e+08
183,2.21416e+08
184,2.208e+08
185,2.18375e+08
186,2.17756e+08
187,2.17147e+08
188,2.20098e+08
189,2.24955e+08
190,2.22439e+08
191,2.18286e+08
192,2.14326e+08
193,2.08988e+08
194,2.06933e+08
195,2.06495e+08
196,2.18791e+08
197,2.23398e+08
198,2.1935e+08
199,2.23847e+08
200,2.1982e+08
201,2.2092e+08
202,2.22059e+08
203,2.23159e+08
204,2.22545e+08
205,2.23636e+08
206,2.19733e+08
207,2.16e+08
208,2.13955e+08
209,2.07582e+08
210,2.14468e+08
211,2.09533e+08
212,2.10561e+08
213,2.22261e+08
214,2.23304e+08
215,2.21155e+08
216,2.08763e+08
217,2.06962e+08
218,2.10696e+08
219,2.11662e+08
220,2.0979e+08
221,2.09379e+08
222,2.10294e+08
223,2.09882e+08
224,2.10824e+08
225,2.06359e+08
226,2.11314e+08
227,2.13647e+08
228,2.14588e+08
229,2.22799e+08
230,2.22294e+08
231,2.26286e+08
232,2.21233e+08
233,2.22222e+08
234,2.20235e+08
235,2.14188e+08
236,2.11091e+08
237,2.10667e+08
238,2.1288e+08
239,2.20615e+08
240,2.10711e+08
241,2.10327e+08
242,2.09948e+08
243,2.12073e+08
244,2.12945e+08
245,2.13818e+08
246,2.21389e+08
247,2.23698e+08
248,2.11334e+08
249,2.12186e+08
250,2.13038e+08
251,2.17724e+08
252,2.22615e+08
253,2.1057e+08
254,2.15163e+08
255,2.23881e+08
256,2.13097e+08
257,2.15153e+08
258,2.19855e+08
259,2.19368e+08
260,2.08e+08
261,2.09976e+08
262,1.97537e+08
263,2.49132e+08
264,2.58612e+08
265,2.65e+08
266,2.66e+08
267,2.48064e+08
268,2.50584e+08
269,2.67174e+08
270,2.66316e+08
271,2.6192e+08
272,2.51077e+08
273,2.6208e+08
274,2.6482e+08
275,2.58824e+08
276,2.6671e+08
277,2.57355e+08
278,2.55007e+08
279,2.51125e+08
280,2.50447e+08
281,2.49778e+08
282,2.68913e+08
283,2.53131e+08
284,2.54025e+08
285,2.68235e+08
286,2.51134e+08
287,2.51975e+08
288,2.62494e+08
289,2.53768e+08
290,2.59353e+08
291,2.49429e+08
292,2.67808e+08
293,2.63726e+08
294,2.55024e+08
295,2.59037e+08
296,2.56759e+08
297,2.4864e+08
298,2.64889e+08
299,2.51789e+08
300,2.57143e+08
301,2.58e+08
302,2.55824e+08
303,2.53663e+08
304,2.6694e+08
305,2.53849e+08
306,2.65471e+08
307,2.60059e+08
308,2.53463e+08
309,2.54286e+08
310,2.61053e+08
311,2.54431e+08
312,2.53831e+08
313,2.60508e+08
314,2.52615e+08
315,2.53419e+08
316,2.54224e+08
317,2.56438e+08
318,2.57282e+08
319,2.64e+08
320,2.54574e+08
321,2.62648e+08
322,2.69606e+08
323,2.6731e+08
324,2.66594e+08
325,2.65921e+08
326,2.51059e+08
327,2.69099e+08
328,2.65372e+08
329,2.632e+08
330,2.6111e+08
331,6.85797e+07
332,2.61246e+08
333,2.47185e+08
334,2.46646e+08
335,2.49938e+08
336,2.48123e+08
337,2.50155e+08
338,2.48347e+08
339,2.47777e+08
340,2.47273e+08
341,2.49239e+08
342,2.4997e+08
343,2.5199e+08
344,2.4769e+08
345,2.49638e+08
346,2.47881e+08
347,2.48597e+08
348,2.5057e+08
349,2.5003e+08
350,2.49525e+08
351,2.46546e+08
352,2.50951e+08
353,2.49176e+08
354,2.51123e+08
355,2.50588e+08
356,2.51294e+08
357,2.49563e+08
358,2.49043e+08
359,2.52195e+08
360,2.48048e+08
361,2.47543e+08
362,2.51826e+08
363,2.45408e+08
364,2.496e+08
365,2.4909e+08
366,2.49801e+08
367,2.51657e+08
368,2.47617e+08
369,2.5182e+08
370,2.50141e+08
371,2.48493e+08
372,1.11366e+08
373,2.47512e+08
374,2.47055e+08
375,2.47688e+08
376,2.48349e+08
377,2.4789e+08
378,2.52e+08
379,2.49205e+08
380,2.49863e+08
381,2.494e+08
382,2.2453e+08
383,2.47336e+08
384,2.47955e+08
385,2.0233e+08
386,2.49247e+08
387,2.49919e+08
388,2.25298e+08
389,2.42494e+08
390,2.45232e+08
391,2.4374e+08
392,2.41231e+08
393,2.42867e+08
394,2.49947e+08
395,2.44129e+08
396,2.42672e+08
397,2.33346e+08
398,2.47026e+08
399,2.4243e+08
400,2.47219e+08
401,2.406e+08
402,2.40215e+08
403,2.50155e+08
404,2.46517e+08
405,2.49231e+08
406,2.44627e+08
407,2.50462e+08
408,2.46849e+08
409,2.39415e+08
410,2.40987e+08
411,2.43556e+08
412,1.28972e+08
413,2.4077e+08
414,2.50479e+08
415,2.5005e+08
416,2.496e+08
417,2.502e+08
418,2.48711e+08
419,2.514e+08
420,2.4485e+08
421,2.526e+08
422,2.48041e+08
423,2.48629e+08
424,2.50221e+08
425,2.50836e+08
426,2.49366e+08
427,2.49951e+08
428,1.27602e+08
429,2.5846e+08
430,2.61266e+08
431,2.66378e+08
432,2.65846e+08
433,2.66462e+08
434,2.64823e+08
435,2.67692e+08
436,2.64911e+08
437,2.66653e+08
438,2.67263e+08
439,2.67846e+08
440,2.65113e+08
441,2.69067e+08
442,2.24898e+08
443,2.66921e+08
444,2.64207e+08
445,2.68099e+08
446,2.66481e+08
447,2.64889e+08
448,2.65481e+08
449,2.68273e+08
450,2.6234e+08
451,2.67259e+08
452,2.66745e+08
453,2.68444e+08
454,2.65756e+08
455,2.65255e+08
456,2.69132e+08
457,2.67512e+08
458,2.64867e+08
459,2.67612e+08
460,2.63913e+08
461,2.69854e+08
462,2.62948e+08
463,2.36426e+08
464,2.68337e+08
465,2.64656e+08
466,2.67355e+08
467,2.65794e+08
468,2.64282e+08
469,2.69076e+08
470,2.6965e+08
471,2.62884e+08
472,2.63442e+08
473,2.61977e+08
474,2.65596e+08
475,2.67179e+08
476,2.69867e+08
477,2.64193e+08
478,2.68892e+08
479,2.71568e+08
480,2.63833e+08
481,2.66408e+08
482,2.67976e+08
483,2.6444e+08
484,2.62996e+08
485,2.66557e+08
486,2.68138e+08
487,2.67656e+08
488,2.6823e+08
489,3.08842e+08
490,3.08112e+08
491,3.1424e+08
492,3.09402e+08
493,3.12751e+08
494,3.10659e+08
495,3.11256e+08
496,3.10518e+08
497,3.08504e+08
498,3.14526e+08
499,3.08405e+08
500,3.09023e+08
501,3.05705e+08
502,3.06315e+08
503,1.70827e+08
504,2.92655e+08
505,2.87449e+08
506,2.86848e+08
507,2.90878e+08
508,2.91452e+08
