n,flops
2,1.95122e+08
3,2.6087e+08
4,3.29897e+08
5,3.26797e+08
6,3.70497e+08
7,3.71681e+08
8,4.19214e+08
9,4.85514e+08
10,5.76369e+08
11,6.00496e+08
12,5.92593e+08
13,5.65533e+08
14,6.00306e+08
15,4.83524e+08
16,4.84848e+08
17,5.26892e+08
18,6.39053e+08
19,6.41778e+08
20,6.32911e+08
21,6.48212e+08
22,6.51559e+08
23,6.56735e+08
24,6.48041e+08
25,6.56973e+08
26,6.53245e+08
27,6.48e+08
28,6.64032e+08
29,6.91991e+08
30,6.82077e+08
31,7.05926e+08
32,7.02252e+08
33,6.6443e+08
34,6.65899e+08
35,6.73262e+08
36,6.73713e+08
37,4.48045e+08
38,2.52661e+08
39,2.49167e+08
40,2.46945e+08
41,2.51622e+08
42,2.20693e+08
43,2.55522e+08
44,2.60548e+08
45,2.47328e+08
46,2.53494e+08
47,2.64198e+08
48,2.57785e+08
49,2.64132e+08
50,2.54061e+08
51,2.65444e+08
52,3.16307e+08
53,3.12348e+08
54,3.14529e+08
55,3.13835e+08
56,3.01863e+08
57,3.19574e+08
58,3.17853e+08
59,3.14274e+08
60,2.75742e+08
61,3.12252e+08
62,3.22006e+08
63,3.26411e+08
64,3.2878e+08
65,3.27274e+08
66,3.21346e+08
67,3.14257e+08
68,3.14529e+08
69,3.19319e+08
70,3.12487e+08
71,3.31914e+08
72,3.76639e+08
73,3.65768e+08
74,3.52665e+08
75,6.95862e+08
76,7.00135e+08
77,6.91886e+08
78,6.89835e+08
79,3.70602e+08
80,3.69825e+08
81,3.76852e+08
82,3.70553e+08
83,3.69327e+08
84,3.53534e+08
85,3.69726e+08
86,3.91841e+08
87,6.19285e+08
88,6.8204e+08
89,7.00209e+08
90,4.16867e+08
91,3.79648e+08
92,3.72382e+08
93,4.23341e+08
94,3.77787e+08
95,4.02354e+08
96,4.10104e+08
97,4.15864e+08
98,4.20997e+08
99,4.70761e+08
100,4.51977e+08
101,4.67964e+08
102,4.44166e+08
103,4.7503e+08
104,4.57011e+08
105,4.49746e+08
106,4.52712e+08
107,4.49592e+08
108,4.70082e+08
109,4.6428e+08
110,4.39002e+08
111,4.57862e+08
112,5.07823e+08
113,5.181e+08
114,4.55997e+08
115,5.17923e+08
116,5.1234e+08
117,5.18883e+08
118,5.02517e+08
119,5.09031e+08
120,5.04278e+08
121,4.96768e+08
122,5.14344e+08
123,5.0302e+08
124,5.46702e+08
125,5.55417e+08
126,5.53415e+08
127,5.12143e+08
128,5.4893e+08
129,5.55089e+08
130,5.49593e+08
131,5.59473e+08
132,5.79596e+08
133,5.64543e+08
134,5.41842e+08
135,5.15907e+08
136,5.88601e+08
137,5.92964e+08
138,5.88862e+08
139,5.28736e+08
140,5.85439e+08
141,5.95807e+08
142,6.28763e+08
143,5.89872e+08
144,6.10005e+08
145,6.26185e+08
146,5.92108e+08
147,5.95656e+08
148,6.25328e+08
149,6.61896e+08
150,6.27542e+08
151,6.18799e+08
152,6.53372e+08
153,6.36379e+08
154,6.53483e+08
155,6.46534e+08
156,6.50165e+08
157,6.32139e+08
158,6.77627e+08
159,6.4262e+08
160,6.65895e+08
161,6.29874e+08
162,6.45898e+08
163,6.83816e+08
164,6.771e+08
165,6.57458e+08
166,5.51732e+08
167,6.55035e+08
168,6.87345e+08
169,7.22049e+08
170,6.79225e+08
171,7.06851e+08
172,7.23154e+08
