n,flops
2,1.15108e+08
3,4.32e+08
4,6.58662e+08
5,6.43225e+08
6,8.64e+08
7,1.372e+09
8,1.67503e+09
9,1.94314e+09
10,2.14977e+09
11,2.2553e+09
12,2.32519e+09
13,2.21249e+09
14,2.27121e+09
15,2e+09
16,2.35922e+09
17,2.44814e+09
18,2.34578e+09
19,2.32943e+09
20,2.2904e+09
21,2.22264e+09
22,2.31277e+09
23,2.33913e+09
24,2.32278e+09
25,2.38349e+09
26,2.36762e+09
27,2.39385e+09
28,2.38035e+09
29,2.38104e+09
30,2.37071e+09
31,2.22967e+09
32,2.2384e+09
33,2.25487e+09
34,2.21691e+09
35,2.18471e+09
36,2.19415e+09
37,2.16761e+09
38,2.14716e+09
39,2.13389e+09
40,2.13431e+09
41,2.14679e+09
42,2.53713e+09
43,2.43855e+09
44,2.44743e+09
45,2.42729e+09
46,2.37645e+09
47,1.84597e+09
48,2.30634e+09
49,2.31062e+09
50,2.26301e+09
51,2.24753e+09
52,2.21891e+09
53,2.20695e+09
54,2.14826e+09
55,2.12018e+09
56,2.52963e+09
57,2.51464e+09
58,2.50122e+09
59,2.48861e+09
60,2.46564e+09
61,2.18368e+09
62,4.17307e+09
63,3.07488e+09
64,2.61057e+09
65,2.40518e+09
66,2.68253e+09
67,2.79184e+09
68,2.81984e+09
69,2.83979e+09
70,2.84287e+09
71,2.85519e+09
72,2.9574e+09
73,3.01564e+09
74,3.00677e+09
75,2.97999e+09
76,2.91383e+09
77,2.94511e+09
78,2.808e+09
79,3.09412e+09
80,3.00354e+09
81,3.0483e+09
82,2.97334e+09
83,2.94388e+09
84,2.97706e+09
85,3.19498e+09
86,3.08526e+09
87,2.99783e+09
88,2.99621e+09
89,2.98479e+09
90,3.17926e+09
91,3.15613e+09
92,3.09583e+09
93,3.19198e+09
94,3.26537e+09
95,2.94258e+09
96,3.29391e+09
97,3.40912e+09
98,3.41665e+09
99,3.29008e+09
100,3.37213e+09
101,3.26799e+09
102,3.20479e+09
103,3.41729e+09
104,3.20512e+09
105,3.62411e+09
106,3.57484e+09
107,3.65162e+09
108,3.75085e+09
109,3.76318e+09
110,3.80353e+09
111,3.64864e+09
112,3.53367e+09
113,3.80649e+09
114,3.76903e+09
115,4.06689e+09
116,3.99518e+09
117,3.97635e+09
118,4.02896e+09
119,4.06096e+09
120,3.95423e+09
121,4.20029e+09
122,4.15229e+09
123,4.03671e+09
124,4.03768e+09
125,4.15718e+09
126,4.03805e+09
127,3.95563e+09
128,3.91671e+09
129,4.08207e+09
130,4.06121e+09
131,3.94912e+09
132,4.08691e+09
133,3.98372e+09
134,4.04213e+09
135,3.97681e+09
136,4.04744e+09
137,3.9633e+09
138,4.02419e+09
139,3.94332e+09
140,3.99668e+09
141,3.91249e+09
142,3.99622e+09
143,3.98103e+09
144,3.98227e+09
145,3.97708e+09
146,3.90669e+09
147,3.87047e+09
148,3.96995e+09
149,3.92943e+09
150,3.93733e+09
151,3.98538e+09
152,3.5817e+09
153,3.89419e+09
154,3.97093e+09
155,3.67525e+09
