n, type, kij_GFLOPs, jki_GFLOPs
2, FP32, 0.16, 0.16
2, FP64, 0.16, 0.174672
4, FP32, 0.313572, 0.341333
4, FP64, 0.326864, 0.313418
8, FP32, 0.445217, 0.474426
8, FP64, 0.45011, 0.419397
16, FP32, 0.52738, 0.40538
16, FP64, 0.525128, 0.498752
32, FP32, 0.481204, 0.453562
32, FP64, 0.448238, 0.449724
64, FP32, 0.510165, 0.553894
64, FP64, 0.55936, 0.615416
128, FP32, 0.685611, 0.767347
128, FP64, 0.84961, 0.783166
256, FP32, 0.858626, 0.754045
256, FP64, 0.881478, 0.729474
512, FP32, 0.854354, 0.734578
512, FP64, 0.844526, 0.702867
